Date,Close
7/23/2018,139.17
7/24/2018,139.82
7/25/2018,140.05
7/26/2018,140.13
7/27/2018,138.64
7/30/2018,138.97
7/31/2018,138.43
8/1/2018,137.07
8/2/2018,136.55
8/3/2018,141.08
8/6/2018,139.48
8/7/2018,140.42
8/8/2018,140.3
8/9/2018,138.28
8/10/2018,138
8/13/2018,136.31
8/14/2018,136.93
8/15/2018,137.46
8/16/2018,138.82
8/17/2018,139.51
8/20/2018,139.94
8/21/2018,139.43
8/22/2018,138.73
8/23/2018,138.85
8/24/2018,139.49
8/27/2018,140.11
8/28/2018,140.02
8/29/2018,140.92
8/30/2018,139.39
8/31/2018,139.91
9/4/2018,139.15
9/5/2018,140.08
9/6/2018,139.83
9/7/2018,138.93
9/10/2018,139.12
9/11/2018,139.92
9/12/2018,140
9/13/2018,142.27
9/14/2018,141.68
9/17/2018,141.31
9/18/2018,141.9
9/19/2018,142.38
9/20/2018,144.37
9/21/2018,144.56
9/24/2018,143.3
9/25/2018,142.23
9/26/2018,144.81
9/27/2018,144.71
9/28/2018,144.43
10/1/2018,146.14
10/2/2018,146.86
10/3/2018,146.35
10/4/2018,144.53
10/5/2018,142.35
10/8/2018,141.74
10/9/2018,140.64
10/10/2018,136.29
10/11/2018,132.79
10/12/2018,134.53
10/15/2018,134.8
10/16/2018,138.61
10/17/2018,128.04
10/18/2018,124.7
10/19/2018,123.31
10/22/2018,124.19
10/23/2018,125.33
10/24/2018,121.51
10/25/2018,120.78
10/26/2018,119.19
10/29/2018,114.28
10/30/2018,110.23
10/31/2018,110.25
11/1/2018,111.59
11/2/2018,110.48
11/5/2018,114.68
11/6/2018,117.6
11/7/2018,119.24
11/8/2018,117.85
11/9/2018,118
11/12/2018,115.48
11/13/2018,115.42
11/14/2018,114.81
11/15/2018,116
11/16/2018,116.12
11/19/2018,114.92
11/20/2018,111.95
11/21/2018,113.25
11/23/2018,111.94
11/26/2018,114.2
11/27/2018,114.65
11/28/2018,117.49
11/29/2018,116.03
11/30/2018,118.7
12/3/2018,119.69
12/4/2018,116.15
12/6/2018,118.35
12/7/2018,113.99
12/10/2018,115.7
12/11/2018,115.47
12/12/2018,115.73
12/13/2018,115.32
12/14/2018,114.52
12/17/2018,110.89
12/18/2018,111.42
12/19/2018,111.21
12/20/2018,107.95
12/21/2018,105.97
12/24/2018,102.75
12/26/2018,106.4
12/27/2018,108.68
12/28/2018,107.96
12/31/2018,108.57
1/2/2019,110.04
1/3/2019,107.85
1/4/2019,112.06
1/7/2019,112.85
1/8/2019,114.46
1/9/2019,115.28
